acid,FC
PI423734,P
PI424241,P
PI437749,P
PI506711B,P
PI549076A,W
PI567453,W
PI594245B,P
PI184047,P
PI229339,P
PI398202,P
PI408304,P
PI423982,W
PI424324B,P
PI437079A,P
PI437615A,P
PI438015,P
PI438177,W
PI438252B,P
PI442031,P
PI458091,P
PI475815,P
PI504490,P
PI507069,P
PI507406B,P
PI561314A,W
PI567545,W
PI567686,P
PI583365,P
PI592943,W
PI597469,W
PI603443B,P
PI603663,W
PI605826A,W
PI153291,P
PI153303,W
PI153305,P
PI153315,W
PI157417,P
PI157429,P
PI157437,W
PI157447,P
PI157468,W
PI187150,P
PI243523,P
PI290123A,P
PI290114,P
PI347546B,W
PI347563B,P
PI347565B,P
PI361114,P
PI398356,P
PI407713,P
PI408055B,P
PI417017,W
PI417544B,P
PI423837A,W
PI423948A,P
PI424190,P
PI424197,P
PI424247B,P
PI424335B,P
PI436682,W
PI437088B,W
PI437104,P
PI437140,P
PI437204,P
PI437210,P
PI437214,P
PI437228,P
PI437304,W
PI437346,W
PI437472,P
PI437458A,W
PI437597B,P
PI437685D,W
PI437840B,P
PI437902C,W
PI437910A,P
PI437917,P
PI437946B,P
PI437953A,P
PI437956B,P
PI437958,P
PI437960,P
PI437965,P
PI437972,P
PI437974B,W
PI438036,W
PI438084,P
PI438087,P
PI438090,P
PI438094A,P
PI438106,P
PI438109B,P
PI438116,P
PI438122,P
PI438474,P
PI445819,P
PI458148,P
PI468923,P
PI470226,P
PI475810,P
PI475813A,P
PI475821,P
PI475824B,P
PI476345,W
PI476350A,P
PI476880,P
PI476922,P
PI479716,P
PI479718B,W
PI479722,W
PI479724A,P
PI479725A,P
PI504487,P
PI506610,P
PI506945,W
PI506993,P
PI506853,W
PI507065,W
PI507107,P
PI507370,P
PI507432,P
PI507467,W
PI507502,P
PI507564,W
PI507493,W
PI507676,W
PI507686B,W
PI507689,P
PI507714,P
PI514671,P
PI509079,P
PI518706B,P
PI525492,W
PI538387,W
PI532463B,W
PI538393,W
PI538406,W
PI549031,P
PI549058,W
PI549064,W
PI549074,P
PI549076B,W
PI556949,W
PI561278A,P
PI567363A,W
PI567516A,W
PI567650C,W
PI567762C,W
PI592950,P
PI593957,P
PI593966,W
PI594402,P
PI594405,W
PI594459,W
PI594778,W
PI597475A,P
PI603359,P
PI603418D,W
PI603711A,W
PI123439,P
PI200506,P
PI205915,W
PI274508,P
PI340045,P
PI342434,P
PI398255,P
PI398381,P
PI398483,P
PI398547,W
PI399109,P
PI407950-1,W
PI407997,P
PI408038,P
PI407970,P
PI408087,P
PI408246-1,W
PI416803,P
PI417068,P
PI417313,P
PI423822,P
PI423874,W
PI423900,P
PI423931,P
PI424131,W
PI424137B,P
PI424586,P
PI424591,W
PI424605B,P
PI427276,P
PI438278,P
PI437586B,W
PI442003A,P
PI458048,P
PI458081,W
PI458094,P
PI458097,W
PI458122,P
PI458128,P
PI458192,P
PI458124,P
PI458245,P
PI458283,P
PI506532,P
PI506730,P
PI506783,P
PI506680,P
PI506831,P
PI507459,P
PI567082A,P
PI567233,P
PI567295,P
PI572265C,W
PI578461,P
PI578498B,W
PI587654,W
PI587667,P
PI587717,W
PI587655,P
PI587682A,P
PI587719A,W
PI587727,W
PI587763,W
PI587768,P
PI587767B,W
PI587854B,W
PI587996B,W
PI588020,W
PI594172B,P
PI594492A,P
PI594605B,P
PI594652A,W
PI594816,P
PI594774,P
PI603601,P
PI603511C,W
PI603538E,W
PI605754,P
PI605758D,P
PI605789A,P
PI605785,W
PI605814,W
PI605886E,W
PI606431,P
PI560207,P
PI534646,P
PI548978,P
PI559370,P
PI548469,W
PI548471,W
PI548367,P
PI608438,P
PI548697,W
PI398485,P
PI424611A,W
PI567418B,W
PI427139,P
PI437133,W
PI567418C,W
PI438034,W
PI227326,P
PI437867B,P
PI404171,W
PI507671,P
PI437074,P
PI479730,W
PI578377,P
PI597478B,P
PI437614A,W
PI404155B,W
PI437847A,P
PI597480A,W
PI438071,P
PI532464,P
PI467311E,W
PI437508B,W
PI597400,W
PI438124A,P
PI153243,P
PI437437B,P
PI266806A,P
PI438167,W
PI297533,W
PI437105C,W
PI603364,W
PI437845B,P
PI467317,W
PI603352,W
PI227324,W
PI438205,P
PI578368,W
PI437375B,W
PI561341B,W
PI464887,P
