acid,Hgt
PI423734,59.71236
PI424241,61.083965
PI437749,86.06952
PI506711B,50.134945
PI549076A,70.02304
PI567453,98.11373
PI594245B,46.228004
PI184047,56.096443
PI229339,54.060658
PI398202,53.21595
PI408304,106.25601
PI423982,58.661102
PI424324B,53.321533
PI437079A,58.53665
PI437615A,77.54416
PI438015,72.3495
PI438177,80.983475
PI438252B,75.676476
PI442031,80.62247
PI458091,47.635284
PI475815,73.50455
PI504490,48.081554
PI507069,86.09623
PI507406B,59.59375
PI561314A,88.885056
PI567545,75.273026
PI567686,107.67947
PI583365,84.2802
PI592943,82.713524
PI597469,79.617805
PI603443B,117.97722
PI603663,112.31073
PI605826A,88.054375
PI153291,78.627625
PI153303,52.968334
PI153305,59.364994
PI153315,73.60852
PI157417,59.702175
PI157429,85.4707
PI157437,87.42231
PI157447,57.89481
PI157468,63.371758
PI187150,66.41881
PI243523,55.222473
PI290123A,62.707855
PI290114,61.764416
PI347546B,82.67334
PI347563B,61.43101
PI347565B,65.507866
PI361114,62.692593
PI398356,51.54167
PI407713,71.12955
PI408055B,57.638233
PI417017,65.13608
PI417544B,91.47186
PI423837A,65.105606
PI423948A,54.286575
PI424190,74.80214
PI424197,62.908787
PI424247B,70.73055
PI424335B,59.350185
PI436682,83.79455
PI437088B,77.22471
PI437104,93.1785
PI437140,75.758064
PI437204,75.86375
PI437210,63.42139
PI437214,66.63939
PI437228,61.814632
PI437304,58.447968
PI437346,82.1304
PI437472,89.84512
PI437458A,68.696045
PI437597B,69.39489
PI437685D,78.33185
PI437840B,102.86751
PI437902C,80.366356
PI437910A,77.42224
PI437917,67.77861
PI437946B,78.703606
PI437953A,92.835144
PI437956B,78.84045
PI437958,79.560455
PI437960,81.60567
PI437965,82.435196
PI437972,70.9688
PI437974B,81.40264
PI438036,76.69586
PI438084,86.50989
PI438087,70.514404
PI438090,84.28352
PI438094A,77.85306
PI438106,83.937614
PI438109B,97.57031
PI438116,74.37593
PI438122,73.422195
PI438474,50.955677
PI445819,86.15234
PI458148,61.30355
PI468923,91.91285
PI470226,67.90466
PI475810,91.870834
PI475813A,82.97641
PI475821,88.01411
PI475824B,83.07078
PI476345,79.18588
PI476350A,74.48122
PI476880,85.41273
PI476922,84.96063
PI479716,71.87581
PI479718B,71.86515
PI479722,83.47234
PI479724A,67.48297
PI479725A,91.45896
PI504487,64.59119
PI506610,42.58924
PI506945,80.83597
PI506993,54.608795
PI506853,54.85994
PI507065,65.47624
PI507107,62.74122
PI507370,58.136932
PI507432,58.585114
PI507467,72.456085
PI507502,81.50287
PI507564,51.609848
PI507493,59.267292
PI507676,93.02302
PI507686B,71.29331
PI507689,80.293175
PI507714,79.01164
PI514671,74.95935
PI509079,69.01306
PI518706B,65.29609
PI525492,58.393265
PI538387,78.65905
PI532463B,90.50374
PI538393,75.194824
PI538406,52.000374
PI549031,148.17058
PI549058,49.775604
PI549064,48.94983
PI549074,70.507385
PI549076B,68.19369
PI556949,95.423355
PI561278A,69.78172
PI567363A,81.248436
PI567516A,124.416504
PI567650C,99.4722
PI567762C,83.91877
PI592950,94.13324
PI593957,72.564064
PI593966,65.487
PI594402,90.23794
PI594405,66.83155
PI594459,74.14301
PI594778,90.03614
PI597475A,65.20415
PI603359,73.82808
PI603418D,79.231964
PI603711A,82.69119
PI123439,105.355835
PI200506,78.95572
PI205915,114.914536
PI274508,86.40639
PI340045,78.81868
PI342434,109.11041
PI398255,55.685658
PI398381,58.165695
PI398483,58.313694
PI398547,69.53997
PI399109,66.24427
PI407950-1,51.41592
PI407997,51.04453
PI408038,55.734562
PI407970,69.55775
PI408087,52.80208
PI408246-1,63.592934
PI416803,63.720173
PI417068,55.58513
PI417313,81.943756
PI423822,62.065548
PI423874,58.718132
PI423900,81.45471
PI423931,53.69498
PI424131,101.74739
PI424137B,78.88292
PI424586,49.04344
PI424591,61.845768
PI424605B,55.68068
PI427276,87.0755
PI438278,59.66299
PI437586B,66.31523
PI442003A,86.63286
PI458048,55.126614
PI458081,44.442142
PI458094,58.638275
PI458097,44.97599
PI458122,58.073967
PI458128,55.815258
PI458192,64.2771
PI458124,55.65545
PI458245,57.944023
PI458283,55.640472
PI506532,64.069374
PI506730,56.703266
PI506783,58.120453
PI506680,104.88814
PI506831,58.05522
PI507459,60.51228
PI567082A,131.9925
PI567233,100.40395
PI567295,100.41631
PI572265C,83.25453
PI578461,92.29144
PI578498B,91.607414
PI587654,104.03051
PI587667,102.32542
PI587717,91.09998
PI587655,129.62675
PI587682A,113.81706
PI587719A,80.89688
PI587727,91.00104
PI587763,111.45086
PI587768,113.51267
PI587767B,109.78856
PI587854B,99.763565
PI587996B,86.14783
PI588020,108.14455
PI594172B,96.63968
PI594492A,77.28969
PI594605B,86.95571
PI594652A,93.395424
PI594816,75.76849
PI594774,96.71979
PI603601,101.46644
PI603511C,83.08655
PI603538E,98.29881
PI605754,136.29932
PI605758D,101.3339
PI605789A,91.42911
PI605785,118.83288
PI605814,94.37113
PI605886E,96.944626
PI606431,139.6436
PI560207,88.57259
PI534646,85.69969
PI548978,88.4674
PI559370,79.89339
PI548469,102.33459
PI548471,62.68551
PI548367,89.74621
PI608438,80.74966
PI548697,62.498016
PI398485,61.906006
PI424611A,98.420586
PI567418B,94.822556
PI427139,87.84897
PI437133,77.784134
PI567418C,93.34249
PI438034,88.10437
PI227326,81.40542
PI437867B,85.35979
PI404171,70.21323
PI507671,95.35924
PI437074,81.72746
PI479730,87.97705
PI578377,79.19706
PI597478B,90.73382
PI437614A,84.23993
PI404155B,74.12962
PI437847A,74.369385
PI597480A,73.980515
PI438071,76.59837
PI532464,85.057045
PI467311E,75.25346
PI437508B,73.99939
PI597400,79.200226
PI438124A,88.15946
PI153243,90.74853
PI437437B,79.52555
PI266806A,64.329575
PI438167,66.53572
PI297533,74.61691
PI437105C,84.65287
PI603364,72.0511
PI437845B,84.68681
PI467317,65.32027
PI603352,79.3031
PI227324,79.73997
PI438205,91.8043
PI578368,73.49423
PI437375B,91.321365
PI561341B,80.80765
PI464887,77.835175
PI423714,77.035355
PI574478C,71.75219
PI436620,66.33301
PI578414,73.899925
PI567512C,88.014824
PI438176,80.99738
PI142491,72.636635
PI578407,76.8479
PI438232,68.81801
PI438269,84.633
PI449456A,63.52996
PI393563,76.55757
PI578431,66.49855
PI384474,75.11207
PI445827B,85.54672
PI424135,56.334183
PI437849,74.37174
PI438413,78.30357
PI407657,93.68998
PI415073B,64.39803
PI602492,90.74978
PI407718,73.66707
PI372419,76.706184
PI437838,73.4925
PI578419A,80.08441
PI291311B,66.3401
PI424151,61.887848
PI424284B,54.796516
PI437890B,87.383316
PI561298,71.24696
PI437752A,79.7034
PI438212A,99.06459
PI567213B,89.65977
PI437374,87.42521
PI603316,77.90542
PI266085C,78.87753
PI424364A,52.939877
PI437981,70.297134
PI467321,79.61095
PI561317,77.76471
PI290116A,70.780334
PI417380,77.643585
PI458525,73.39696
PI578428A,73.422
PI437069,75.99901
PI567209A,74.60166
PI189918,81.39553
PI424357A,66.75542
PI561354,80.80219
PI437381A,84.20272
PI437081A,85.094284
PI458080,64.08058
PI597409,66.32869
PI398839,55.274666
PI423830A,52.6959
PI437987,70.93666
PI458078,61.59863
PI578387,66.2939
PI423784,54.151596
PI437144,82.93431
PI578428B,83.026566
PI404192A,80.73412
PI424255A,67.577255
PI437605C,77.98839
PI407708A,71.00316
PI567485,83.73367
PI408215A,69.762276
PI437990,72.97183
PI398558,54.040222
PI408273,55.253365
PI424273A,51.93243
PI189890,76.46654
PI437361,89.131355
PI248398,88.41762
PI417550,72.15005
PI437651B,76.41013
PI458034,59.517162
PI597446,62.474037
PI153235,66.79032
PI423783,64.67527
PI438050A,79.65571
PI438212B,86.00568
PI458298,63.470463
PI603666,79.17569
PI424215,66.792755
PI438195,86.1365
PI578426,74.48222
PI291306A,84.55255
PI423708A,82.23647
PI437329,80.234505
PI458071,54.46501
PI597426,77.27042
PI384470,81.424736
PI438081,92.88366
PI438225,88.77519
PI574479A,68.21153
PI593956D,73.79187
PI181535,57.93804
PI437525,74.64987
PI438022,68.832825
PI445814,84.849686
PI464901,64.499344
PI593967,73.25891
