acid,MG,ST,FC,P_CLR,P_FRM,P_DENS,POD,SC_L,SC_CLR,H_CLR,protein,oil,Linoleic,Linolenic,eno,R1,R8,Hgt,Mat,Ldg,SQ,SdWgt,Yield,CommonName
FC001547,II,S,W,G,E,N,Br,S,Y,Bf,42.8,20.0,44.1,6.4,11002.0,711.0,916.0,76.0,916.0,1.9,2.5,14.5,2.86,Southern Manchurian Yellow
FC031408,II,S,P,T,E,N,Br,D,Y,Br,41.3,19.8,45.3,7.2,11002.0,703.0,909.0,86.0,909.0,2.1,2.3,13.0,2.33,ND 1392
FC031416,VII,S,P,T,A,N,Br,I,Y,Bl,45.1,14.6,54.4,8.0,491454.0,813.0,1019.0,108.0,1019.0,4.0,2.5,9.8,1.45,Non-Pop Clemson No. 2
PI054613,III,S,W,G,E,N,Dbr,S,Y,Y,44.1,19.9,53.8,7.9,11003.0,711.0,917.0,74.0,917.0,2.7,2.5,18.9,2.65,
PI054619,II,S,W,G,E,N,Br,S,Y,Bf,40.1,20.9,45.2,6.1,11002.0,704.0,915.0,97.0,915.0,2.2,2.8,16.9,2.6,
PI054855,0,S,W,T,Sa,N,Br,S,Rbr,Rbr,45.8,17.3,39.3,6.8,11001.0,709.0,907.0,69.0,907.0,2.0,3.5,20.7,0.8,
PI054873,II,S,P,T,E,N,Br,I,Br,Br,36.9,19.3,46.8,6.8,11002.0,630.0,905.0,109.0,905.0,3.5,2.3,13.2,2.23,
PI060296-2,III,S,W,G,E,N,Br,D,Gn,Bf,43.8,18.7,53.7,8.4,11003.0,714.0,925.0,86.0,925.0,2.8,2.3,21.5,2.6,Loh Yuih bah
PI068455,II,S,P,G,E,N,Br,D,Y,Y,43.1,19.9,47.3,6.9,11002.0,705.0,910.0,91.0,910.0,2.2,2.8,16.2,2.26,
PI068461-1,II,S,W,G,E,N,Br,S,Y,Bf,40.2,23.0,44.1,5.9,11002.0,706.0,911.0,86.0,911.0,2.2,3.3,13.9,2.61,
PI068479,III,S,W,G,E,N,Br,I,Y,Bf,40.4,21.9,54.2,10.2,11003.0,711.0,914.0,74.0,914.0,2.3,2.0,15.0,2.73,
PI068551-3,I,S,P,T,E,N,Br,S,Y,Bl,39.3,21.6,48.4,7.4,11002.0,701.0,909.0,81.0,909.0,2.0,3.3,15.9,2.29,
PI068610,I,S,P,T,E,N,Tn,S,Y,Br,43.2,20.6,44.8,7.0,11002.0,702.0,908.0,81.0,908.0,1.7,3.8,15.4,2.33,
